answer_content,word_id,correct
D,41,TRUE
S,41,FALSE
S,41,FALSE
S,41,FALSE
D,42,TRUE
S,42,FALSE
S,42,FALSE
S,42,FALSE
D,43,TRUE
S,43,FALSE
S,43,FALSE
S,43,FALSE
D,44,TRUE
S,44,FALSE
S,44,FALSE
S,44,FALSE
D,45,TRUE
S,45,FALSE
S,45,FALSE
S,45,FALSE
D,46,TRUE
S,46,FALSE
S,46,FALSE
S,46,FALSE
D,47,TRUE
S,47,FALSE
S,47,FALSE
S,47,FALSE
D,48,TRUE
S,48,FALSE
S,48,FALSE
S,48,FALSE
D,49,TRUE
S,49,FALSE
S,49,FALSE
S,49,FALSE
D,50,TRUE
S,50,FALSE
S,50,FALSE
S,50,FALSE
D,51,TRUE
S,51,FALSE
S,51,FALSE
S,51,FALSE
D,52,TRUE
S,52,FALSE
S,52,FALSE
S,52,FALSE
D,53,TRUE
S,53,FALSE
S,53,FALSE
S,53,FALSE
D,54,TRUE
S,54,FALSE
S,54,FALSE
S,54,FALSE
D,55,TRUE
S,55,FALSE
S,55,FALSE
S,55,FALSE
D,56,TRUE
S,56,FALSE
S,56,FALSE
S,56,FALSE
D,57,TRUE
S,57,FALSE
S,57,FALSE
S,57,FALSE
D,58,TRUE
S,58,FALSE
S,58,FALSE
S,58,FALSE
D,59,TRUE
S,59,FALSE
S,59,FALSE
S,59,FALSE
D,60,TRUE
S,60,FALSE
S,60,FALSE
S,60,FALSE
D,61,TRUE
S,61,FALSE
S,61,FALSE
S,61,FALSE
D,62,TRUE
S,62,FALSE
S,62,FALSE
S,62,FALSE
D,63,TRUE
S,63,FALSE
S,63,FALSE
S,63,FALSE
D,64,TRUE
S,64,FALSE
S,64,FALSE
S,64,FALSE
D,65,TRUE
S,65,FALSE
S,65,FALSE
S,65,FALSE
D,66,TRUE
S,66,FALSE
S,66,FALSE
S,66,FALSE
D,67,TRUE
S,67,FALSE
S,67,FALSE
S,67,FALSE
D,68,TRUE
S,68,FALSE
S,68,FALSE
S,68,FALSE
D,69,TRUE
S,69,FALSE
S,69,FALSE
S,69,FALSE
D,70,TRUE
S,70,FALSE
S,70,FALSE
S,70,FALSE
D,71,TRUE
S,71,FALSE
S,71,FALSE
S,71,FALSE
D,72,TRUE
S,72,FALSE
S,72,FALSE
S,72,FALSE
D,73,TRUE
S,73,FALSE
S,73,FALSE
S,73,FALSE
D,74,TRUE
S,74,FALSE
S,74,FALSE
S,74,FALSE
D,75,TRUE
S,75,FALSE
S,75,FALSE
S,75,FALSE
D,76,TRUE
S,76,FALSE
S,76,FALSE
S,76,FALSE
D,77,TRUE
S,77,FALSE
S,77,FALSE
S,77,FALSE
D,78,TRUE
S,78,FALSE
S,78,FALSE
S,78,FALSE
D,79,TRUE
S,79,FALSE
S,79,FALSE
S,79,FALSE
D,80,TRUE
S,80,FALSE
S,80,FALSE
S,80,FALSE
D,81,TRUE
S,81,FALSE
S,81,FALSE
S,81,FALSE
D,82,TRUE
S,82,FALSE
S,82,FALSE
S,82,FALSE
D,83,TRUE
S,83,FALSE
S,83,FALSE
S,83,FALSE
D,84,TRUE
S,84,FALSE
S,84,FALSE
S,84,FALSE
D,85,TRUE
S,85,FALSE
S,85,FALSE
S,85,FALSE
D,86,TRUE
S,86,FALSE
S,86,FALSE
S,86,FALSE
D,87,TRUE
S,87,FALSE
S,87,FALSE
S,87,FALSE
D,88,TRUE
S,88,FALSE
S,88,FALSE
S,88,FALSE
D,89,TRUE
S,89,FALSE
S,89,FALSE
S,89,FALSE
D,90,TRUE
S,90,FALSE
S,90,FALSE
S,90,FALSE
D,91,TRUE
S,91,FALSE
S,91,FALSE
S,91,FALSE
D,92,TRUE
S,92,FALSE
S,92,FALSE
S,92,FALSE
D,93,TRUE
S,93,FALSE
S,93,FALSE
S,93,FALSE
D,94,TRUE
S,94,FALSE
S,94,FALSE
S,94,FALSE
D,95,TRUE
S,95,FALSE
S,95,FALSE
S,95,FALSE
D,96,TRUE
S,96,FALSE
S,96,FALSE
S,96,FALSE
D,97,TRUE
S,97,FALSE
S,97,FALSE
S,97,FALSE
D,98,TRUE
S,98,FALSE
S,98,FALSE
S,98,FALSE
D,99,TRUE
S,99,FALSE
S,99,FALSE
S,99,FALSE
D,100,TRUE
S,100,FALSE
S,100,FALSE
S,100,FALSE
